model,epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
baseline_1337,1,0.6926833391189575,0.6893959641456604,0.44529616724738674,0.5253164556962026,0.0001
baseline_1337,2,0.6910789272059565,0.6862683892250061,0.5125435540069686,0.6265822784810127,0.0001
baseline_1337,3,0.6893112503963968,0.6830592751502991,0.6097560975609756,0.7088607594936709,0.0001
baseline_1337,4,0.6863256952036982,0.6709628105163574,0.5790940766550523,0.620253164556962,0.0001
baseline_1337,5,0.6777572839156442,0.6154695749282837,0.5867595818815331,0.6835443037974683,0.0001
baseline_1337,6,0.6524623476940653,0.5934130549430847,0.6362369337979094,0.7025316455696202,0.0001
baseline_1337,7,0.6431715695754342,0.5909351706504822,0.6707317073170732,0.7341772151898734,0.0001
baseline_1337,8,0.6255478522051936,0.5986444354057312,0.6738675958188153,0.7088607594936709,0.0001
baseline_1337,9,0.6268278101216191,0.6092296242713928,0.689198606271777,0.7341772151898734,0.0001
baseline_1337,10,0.6173425938772119,0.5717282891273499,0.6923344947735192,0.7088607594936709,0.0001
baseline_1337,11,0.605397149272587,0.6203036904335022,0.7038327526132404,0.7215189873417721,0.0001
baseline_1337,12,0.6020209996596627,0.5226165652275085,0.7181184668989548,0.7721518987341772,0.0001
baseline_1337,13,0.5960609822169595,0.5353255867958069,0.7142857142857143,0.7531645569620253,0.0001
baseline_1337,14,0.5817353362622468,0.5809693932533264,0.7198606271777004,0.7025316455696202,0.0001
baseline_1337,15,0.5727162412975145,0.5467487573623657,0.7299651567944251,0.7278481012658228,0.0001
baseline_1337,16,0.5787960187248562,0.530715823173523,0.7188153310104529,0.7531645569620253,0.0001
baseline_1337,17,0.5573918754639833,0.5308696031570435,0.7362369337979094,0.759493670886076,0.0001
baseline_1337,18,0.5672526502090952,0.5278443694114685,0.7299651567944251,0.7531645569620253,0.0001
baseline_1337,19,0.5565698133862537,0.5377706289291382,0.7264808362369338,0.7721518987341772,0.0001
baseline_1337,20,0.549313873052597,0.5127628445625305,0.7480836236933798,0.7911392405063291,0.0001
baseline_1337,21,0.5456087576306384,0.57302325963974,0.743205574912892,0.7468354430379747,0.0001
baseline_1337,22,0.550418610158174,0.5818784832954407,0.748780487804878,0.7341772151898734,0.0001
baseline_1337,23,0.5472198323063229,0.5120693445205688,0.7498257839721254,0.7911392405063291,0.0001
baseline_1337,24,0.5393012943475143,0.5338422656059265,0.7435540069686412,0.7658227848101266,0.0001
baseline_1337,25,0.550750054742979,0.506458580493927,0.7449477351916376,0.7658227848101266,0.0001
baseline_1337,26,0.5364641650863315,0.5184173583984375,0.7400696864111498,0.7848101265822784,0.0001
baseline_1337,27,0.5271018989708113,0.5055672526359558,0.7425087108013937,0.7531645569620253,0.0001
baseline_1337,28,0.5209690552690754,0.5132299661636353,0.7435540069686412,0.7784810126582279,0.0001
baseline_1337,29,0.5178330372209135,0.5091575980186462,0.743205574912892,0.7911392405063291,0.0001
baseline_1337,30,0.5215768645639005,0.4927329421043396,0.7463414634146341,0.7848101265822784,0.0001
baseline_1337,31,0.5115194631659467,0.5002168416976929,0.7456445993031359,0.7848101265822784,0.0001
baseline_1337,32,0.5136445968047433,0.5038195252418518,0.7449477351916376,0.7974683544303798,0.0001
baseline_1337,33,0.5051693760830424,0.5094466805458069,0.7529616724738676,0.7848101265822784,0.0001
baseline_1337,34,0.5037665263466213,0.5249282717704773,0.7491289198606271,0.7784810126582279,0.0001
baseline_1337,35,0.5043916352417158,0.5095141530036926,0.751219512195122,0.8037974683544303,0.0001
baseline_1337,36,0.5084462684133778,0.5463405251502991,0.7547038327526132,0.7784810126582279,0.0001
baseline_1337,37,0.5095140532307003,0.4869242310523987,0.7491289198606271,0.7151898734177216,0.0001
baseline_1337,38,0.5184157762838446,0.501456081867218,0.7362369337979094,0.810126582278481,0.0001
baseline_1337,39,0.5082752173361571,0.5118261575698853,0.7473867595818815,0.7721518987341772,0.0001
baseline_1337,40,0.5008681675662165,0.49383068084716797,0.7564459930313588,0.7721518987341772,0.0001
baseline_1337,41,0.5005119131959003,0.4952040910720825,0.7630662020905923,0.8037974683544303,0.0001
baseline_1337,42,0.49736053528993024,0.4884633421897888,0.7470383275261324,0.810126582278481,0.0001
baseline_1337,43,0.4941205110238946,0.48789313435554504,0.7540069686411149,0.8037974683544303,0.0001
