model,epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
baseline_42,1,0.6931865474452144,0.6911371350288391,0.5909407665505226,0.7025316455696202,0.0001
baseline_42,2,0.6910701938297438,0.6874032616615295,0.532404181184669,0.6139240506329114,0.0001
baseline_42,3,0.6902506999347521,0.6829479932785034,0.5599303135888501,0.6455696202531646,0.0001
baseline_42,4,0.6875947998917621,0.6766118407249451,0.5822299651567944,0.6329113924050633,0.0001
baseline_42,5,0.6819652267124342,0.6438230276107788,0.6048780487804878,0.6392405063291139,0.0001
baseline_42,6,0.6575201620226321,0.5749178528785706,0.6414634146341464,0.7215189873417721,0.0001
baseline_42,7,0.6400469386059305,0.5777052640914917,0.6557491289198606,0.6962025316455697,0.0001
baseline_42,8,0.6244686764219533,0.564599871635437,0.6773519163763067,0.7468354430379747,0.0001
baseline_42,9,0.6244787418324015,0.563615083694458,0.6662020905923345,0.7151898734177216,0.0001
baseline_42,10,0.616837714029395,0.5903531908988953,0.6804878048780488,0.689873417721519,0.0001
baseline_42,11,0.6049614756003671,0.5591381192207336,0.6979094076655052,0.740506329113924,0.0001
baseline_42,12,0.6018730998039246,0.5543014407157898,0.7142857142857143,0.7278481012658228,0.0001
baseline_42,13,0.591772084650786,0.540394127368927,0.7188153310104529,0.7215189873417721,0.0001
baseline_42,14,0.5941341545270837,0.5324420928955078,0.7125435540069687,0.7341772151898734,0.0001
baseline_42,15,0.5882608786873196,0.5699061751365662,0.7247386759581882,0.740506329113924,0.0001
baseline_42,16,0.5791972227718519,0.5537406802177429,0.7240418118466899,0.740506329113924,0.0001
baseline_42,17,0.5745267842126929,0.5739388465881348,0.7257839721254356,0.7151898734177216,0.0001
baseline_42,18,0.5835592487583989,0.5717666745185852,0.7041811846689896,0.7341772151898734,0.0001
baseline_42,19,0.568653764932052,0.574055016040802,0.7337979094076655,0.7658227848101266,0.0001
baseline_42,20,0.566793662050496,0.5585015416145325,0.7344947735191638,0.759493670886076,0.0001
baseline_42,21,0.5629071191601132,0.6021928191184998,0.7411149825783973,0.7341772151898734,0.0001
baseline_42,22,0.5874092112416807,0.5301888585090637,0.7250871080139373,0.7658227848101266,0.0001
baseline_42,23,0.566806154406589,0.5453477501869202,0.7278745644599303,0.7468354430379747,0.0001
baseline_42,24,0.55668661646221,0.5528122186660767,0.7271777003484321,0.689873417721519,0.0001
baseline_42,25,0.564949859743533,0.5484973788261414,0.7184668989547038,0.7341772151898734,0.0001
baseline_42,26,0.5508776475553927,0.5557663440704346,0.7435540069686412,0.740506329113924,0.0001
baseline_42,27,0.5436390431030936,0.5623185038566589,0.7421602787456446,0.7341772151898734,0.0001
baseline_42,28,0.5422085497690283,0.5649142861366272,0.7365853658536585,0.740506329113924,0.0001
baseline_42,29,0.5428907573223114,0.550957441329956,0.7383275261324042,0.740506329113924,0.0001
baseline_42,30,0.5461278583692468,0.5414133667945862,0.7470383275261324,0.7721518987341772,0.0001
baseline_42,31,0.536832966234373,0.559692919254303,0.7480836236933798,0.7341772151898734,0.0001
baseline_42,32,0.533088330341422,0.5419389605522156,0.7536585365853659,0.759493670886076,0.0001
baseline_42,33,0.5371371572432311,0.5212855935096741,0.7470383275261324,0.7658227848101266,0.0001
baseline_42,34,0.532008637552676,0.5196041464805603,0.7602787456445993,0.759493670886076,0.0001
baseline_42,35,0.5310493992722553,0.5426754355430603,0.748432055749129,0.7721518987341772,0.0001
baseline_42,36,0.5295471199180769,0.5256350040435791,0.7578397212543554,0.7911392405063291,0.0001
baseline_42,37,0.518523106108541,0.5194459557533264,0.7637630662020906,0.7658227848101266,0.0001
baseline_42,38,0.5139932191890219,0.5263274908065796,0.7571428571428571,0.7784810126582279,0.0001
baseline_42,39,0.5251934074837229,0.5733529329299927,0.7581881533101046,0.740506329113924,0.0001
