model,epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
2_layers_1337,1,0.6929975825807323,0.6906521916389465,0.4289198606271777,0.7088607594936709,0.0001
2_layers_1337,2,0.6905084252357483,0.6854882836341858,0.6111498257839721,0.6455696202531646,0.0001
2_layers_1337,3,0.6867715146230615,0.667259931564331,0.5494773519163763,0.6329113924050633,0.0001
2_layers_1337,4,0.6669928638831429,0.5741804242134094,0.5933797909407665,0.7088607594936709,0.0001
2_layers_1337,5,0.6321763525838437,0.6177889108657837,0.667595818815331,0.7341772151898734,0.0001
2_layers_1337,6,0.6049217426258585,0.543120801448822,0.7048780487804878,0.7531645569620253,0.0001
2_layers_1337,7,0.581296127775441,0.5564156770706177,0.7181184668989548,0.759493670886076,0.0001
2_layers_1337,8,0.5744341249051301,0.5100899934768677,0.7313588850174216,0.7658227848101266,0.0001
2_layers_1337,9,0.56423579869063,0.503545343875885,0.7414634146341463,0.7468354430379747,0.0001
2_layers_1337,10,0.5563392367051996,0.49710381031036377,0.7439024390243902,0.7658227848101266,0.0001
2_layers_1337,11,0.5458990128143973,0.5010116696357727,0.7463414634146341,0.7721518987341772,0.0001
2_layers_1337,12,0.5405064886030944,0.5086785554885864,0.7418118466898954,0.7784810126582279,0.0001
2_layers_1337,13,0.5303480145723923,0.5001350045204163,0.7505226480836237,0.7721518987341772,0.0001
2_layers_1337,14,0.5286998826524486,0.5035960674285889,0.7459930313588851,0.7848101265822784,0.0001
2_layers_1337,15,0.5269266211468241,0.5078936219215393,0.7411149825783973,0.7848101265822784,0.0001
2_layers_1337,16,0.5458002543967703,0.5180858373641968,0.7257839721254356,0.7784810126582279,0.0001
2_layers_1337,17,0.5332496256931968,0.4859677255153656,0.7411149825783973,0.8291139240506329,0.0001
2_layers_1337,18,0.518525270016297,0.483715295791626,0.7529616724738676,0.7848101265822784,0.0001
2_layers_1337,19,0.5107943687749945,0.4973343312740326,0.7581881533101046,0.7784810126582279,0.0001
2_layers_1337,20,0.5152287094489388,0.4856289029121399,0.7498257839721254,0.7848101265822784,0.0001
2_layers_1337,21,0.5128249448278676,0.4879874885082245,0.756794425087108,0.7974683544303798,0.0001
2_layers_1337,22,0.5071144972158514,0.4927033483982086,0.7581881533101046,0.7974683544303798,0.0001
2_layers_1337,23,0.5097589272519817,0.5037049055099487,0.7627177700348432,0.7468354430379747,0.0001
2_layers_1337,24,0.5061499502347864,0.48506996035575867,0.7637630662020906,0.7658227848101266,0.0001
2_layers_1337,25,0.5042122239651887,0.5051549673080444,0.7644599303135888,0.8037974683544303,0.0001
2_layers_1337,26,0.5065779115842737,0.49451741576194763,0.7620209059233449,0.8227848101265823,0.0001
2_layers_1337,27,0.5019622522851696,0.4991161525249481,0.7522648083623693,0.8164556962025317,0.0001
2_layers_1337,28,0.49240791927213257,0.5019580721855164,0.7752613240418118,0.7721518987341772,0.0001
2_layers_1337,29,0.49475348125333374,0.4994554817676544,0.7693379790940766,0.759493670886076,5e-05
2_layers_1337,30,0.48782290453496185,0.4992806613445282,0.7721254355400697,0.7848101265822784,5e-05
2_layers_1337,31,0.4848062383091968,0.5026933550834656,0.7707317073170732,0.7848101265822784,5e-05
2_layers_1337,32,0.48432835936546326,0.49847641587257385,0.7770034843205574,0.7721518987341772,5e-05
2_layers_1337,33,0.4855098646620046,0.5144292116165161,0.7763066202090593,0.7784810126582279,5e-05
2_layers_1337,34,0.48143413015033887,0.5181970000267029,0.7728222996515679,0.7911392405063291,5e-05
2_layers_1337,35,0.4864723669446033,0.4975243806838989,0.7745644599303136,0.7658227848101266,5e-05
2_layers_1337,36,0.47477909145147906,0.5203830599784851,0.7797909407665505,0.7784810126582279,5e-05
2_layers_1337,37,0.4772329356359399,0.5216118693351746,0.7797909407665505,0.7911392405063291,5e-05
2_layers_1337,38,0.4720158175281856,0.5242601037025452,0.778397212543554,0.7784810126582279,5e-05
2_layers_1337,39,0.4849013478859611,0.49638116359710693,0.7707317073170732,0.7721518987341772,5e-05
2_layers_1337,40,0.4732035424398339,0.5255270004272461,0.7860627177700349,0.7721518987341772,2.5e-05
2_layers_1337,41,0.4693327520204627,0.5245611071586609,0.7871080139372822,0.7784810126582279,2.5e-05
2_layers_1337,42,0.46729458285414655,0.5338934063911438,0.7857142857142857,0.7721518987341772,2.5e-05
2_layers_1337,43,0.46521781579307886,0.5250632762908936,0.7857142857142857,0.7784810126582279,2.5e-05
2_layers_1337,44,0.46554380655288696,0.5270810723304749,0.7857142857142857,0.7658227848101266,2.5e-05
2_layers_1337,45,0.4657263354114864,0.5588243007659912,0.7871080139372822,0.759493670886076,2.5e-05
2_layers_1337,46,0.46683723771053814,0.5156916975975037,0.7857142857142857,0.7721518987341772,2.5e-05
2_layers_1337,47,0.4624703928180363,0.531208336353302,0.7878048780487805,0.759493670886076,2.5e-05
2_layers_1337,48,0.4608951496041339,0.5304566025733948,0.7898954703832752,0.7658227848101266,2.5e-05
2_layers_1337,49,0.45890006811722467,0.5358598232269287,0.7878048780487805,0.759493670886076,2.5e-05
2_layers_1337,50,0.459518709908361,0.5393745303153992,0.7926829268292683,0.7658227848101266,2.5e-05
2_layers_1337,51,0.46077549846275995,0.5385474562644958,0.7850174216027874,0.740506329113924,1.25e-05
2_layers_1337,52,0.48542649590450787,0.5184581875801086,0.7613240418118467,0.7721518987341772,1.25e-05
